2025/11/01_00:10:35
2025/11/01_00:10:39,M
2025/11/01_00:10:48,Bw2plus
2025/11/01_00:10:58,L
2025/11/01_00:11:08,O
2025/11/01_00:11:16,W
2025/11/01_00:11:25,Bw2
2025/11/01_00:11:33,B
2025/11/01_00:11:40,Bw2
2025/11/01_00:11:53,H
2025/11/01_00:12:02,Bw1
2025/11/01_00:12:16,DelWord
2025/11/01_00:12:25,H
2025/11/01_00:12:36,Bw5
2025/11/01_00:12:42,DelChar
2025/11/01_00:12:49,DelChar
2025/11/01_00:13:00,Bw6
2025/11/01_00:13:10,B
2025/11/01_00:13:20,Bw5
2025/11/01_00:13:27,H
2025/11/01_00:13:40,U
2025/11/01_00:13:47,R
2025/11/01_00:13:53,Bw4
2025/11/01_00:14:04,A
2025/11/01_00:14:11,Space
2025/11/01_00:14:17,L
2025/11/01_00:14:26,O
2025/11/01_00:14:35,Bw2
2025/11/01_00:14:42,T
2025/11/01_00:14:50,Bw4
2025/11/01_00:14:59,F
2025/11/01_00:15:08,DelChar
2025/11/01_00:15:19,P
2025/11/01_00:15:27,A
2025/11/01_00:15:35,Bw6
2025/11/01_00:15:46,W
2025/11/01_00:15:53,E
2025/11/01_00:16:03,E
2025/11/01_00:16:11,Bw2
