2025/11/03_19:59:19
2025/11/03_19:59:27,Bw5plus
2025/11/03_19:59:39,V
2025/11/03_19:59:59,DelChar
2025/11/03_20:00:09,W
2025/11/03_20:00:21,Bw3
2025/11/03_20:00:32,S
2025/11/03_20:00:42,C
2025/11/03_20:00:57,Bw3
2025/11/03_20:01:14,A
2025/11/03_20:01:31,Space
2025/11/03_20:01:39,R
2025/11/03_20:01:52,DelChar
2025/11/03_20:02:04,M
2025/11/03_20:02:12,E
2025/11/03_20:02:24,E
2025/11/03_20:02:36,Bw2
2025/11/03_20:02:51,N
2025/11/03_20:03:06,E
2025/11/03_20:03:22,Bw1
2025/11/03_20:03:35,B
2025/11/03_20:03:51,DelWord
2025/11/03_20:04:08,DelWord
2025/11/03_20:04:17,N
2025/11/03_20:04:38,Bw6
2025/11/03_20:04:53,W
2025/11/03_20:05:06,E
2025/11/03_20:05:15,E
2025/11/03_20:05:25,Bw2
