2025/11/04_10:42:45
2025/11/04_10:42:51,T
2025/11/04_10:43:00,U
2025/11/04_10:43:21,Bw3plus
2025/11/04_10:43:30,DelChar
2025/11/04_10:43:42,DelChar
2025/11/04_10:43:51,DelChar
2025/11/04_10:44:00,Space
2025/11/04_10:44:09,Bw6plus
2025/11/04_10:44:24,D
2025/11/04_10:44:40,O
2025/11/04_10:44:55,Y
2025/11/04_10:45:06,DelChar
2025/11/04_10:45:16,Bw5plus
2025/11/04_10:45:25,K
2025/11/04_10:45:37,DelChar
2025/11/04_10:45:44,A
2025/11/04_10:45:57,Space
2025/11/04_10:46:08,L
2025/11/04_10:46:16,Bw5plus
2025/11/04_10:46:24,B
2025/11/04_10:46:39,Bw4plus
2025/11/04_10:46:47,P
2025/11/04_10:46:56,Bw1plus
