2025/11/25_20:12:43
2025/11/25_20:12:52,D
2025/11/25_20:13:08,Bw1
2025/11/25_20:13:28,Bw1plus
2025/11/25_20:13:43,DelWord
2025/11/25_20:14:04,J
2025/11/25_20:14:24,DelWord
2025/11/25_20:14:43,Bw2
2025/11/25_20:15:00,C
2025/11/25_20:15:11,DelWord
2025/11/25_20:15:29,H
2025/11/25_20:15:45,Bw1
2025/11/25_20:15:54,A
2025/11/25_20:16:15,N
2025/11/25_20:16:35,G
2025/11/25_20:16:47,DelChar
2025/11/25_20:17:05,Bw2plus
2025/11/25_20:17:15,Bw1
2025/11/25_20:17:31,DelChar
2025/11/25_20:17:47,B
2025/11/25_20:18:06,Z
2025/11/25_20:18:23,DelWord
2025/11/25_20:18:38,B
2025/11/25_20:18:48,R
2025/11/25_20:19:00,O
2025/11/25_20:19:13,P
2025/11/25_20:19:26,DelChar
2025/11/25_20:19:36,O
2025/11/25_20:19:57,DelChar
2025/11/25_20:20:15,T
2025/11/25_20:20:30,H
2025/11/25_20:20:45,E
2025/11/25_20:20:54,R
2025/11/25_20:21:04,S
2025/11/25_20:21:17,Space
2025/11/25_20:21:37,O
2025/11/25_20:21:53,R
2025/11/25_20:22:09,Space
2025/11/25_20:22:23,S
2025/11/25_20:22:39,I
