2025/11/22_15:33:48
2025/11/22_15:33:55,I
2025/11/22_15:34:03,Space
2025/11/22_15:34:14,R
2025/11/22_15:34:26,E
2025/11/22_15:34:34,Bw1plus
2025/11/22_15:34:44,L
2025/11/22_15:34:55,Bw1plus
2025/11/22_15:35:06,G
2025/11/22_15:35:15,R
2025/11/22_15:35:29,E
2025/11/22_15:35:44,Bw2plus
2025/11/22_15:36:00,DelWord
2025/11/22_15:36:08,G
2025/11/22_15:36:27,R
2025/11/22_15:36:36,E
2025/11/22_15:36:47,E
2025/11/22_15:36:57,N
2025/11/22_15:37:05,Space
2025/11/22_15:37:14,A
2025/11/22_15:37:22,P
2025/11/22_15:37:37,Bw3plus
2025/11/22_15:37:46,DelWord
2025/11/22_15:37:57,A
2025/11/22_15:38:10,P
2025/11/22_15:38:24,Bw5
2025/11/22_15:38:34,W
2025/11/22_15:38:46,Q
2025/11/22_15:38:59,DelWord
2025/11/22_15:39:06,DelChar
2025/11/22_15:39:14,S
